Execution_Time,CPU,Disk,Memory,Heap,Threads
11794.8,3,214111177.6,23,0.172221815,1.470588235
11755.4,3,225777123.2,23,0.141057915,1.111111111
13689.8,3,239484481.9,23,0.130301516,1.1
13084.8,3,253279769.3,22.95,0.199502763,1.05
14365.6,3,266632763.4,22,0.196402819,1.074074074
12909.4,3,280869307.7,22,0.13854584,1.136363636
14053.2,3,295085465.6,22,0.208469442,1.068965517
13684.4,2,309651359.3,23,0.184191613,1.074074074
12318.8,2,322839687.7,23,0.216350017,1.142857143
13462.6,2,336779970.5,23,0.196511406,1.1
12028.8,2,350561995.3,23,0.168915829,1.047619048
18830,2,127193178,14,0.125742956,5.454545455
17878.8,2.541666667,142660481.6,13.91666667,0.168270904,6.041666667
16193.6,3,157294288.6,14,0.203860816,5.714285714
17097.2,3,172971415.1,14,0.174242533,5.625
16426,3,190580475.4,14.80487805,0.16684611,5.975609756
16702,3,208323513.1,15,0.213584669,5.909090909
15460.2,4,223988335.9,16,0.230181845,9.166666667
19437,4,239810815.6,16.70588235,0.238551251,14.70588235
19308.4,4,256945260.6,17.27777778,0.217792358,17.77777778
19495.2,5,272791577.6,18,0.332320391,27.14285714
17459.6,5,287850504.6,19.7,0.337412884,27.66666667
18225.2,6,303434935.8,20.84375,0.362985841,25.46875
16316.6,6,320026927.9,22,0.418646803,5.972222222
14902.4,7,336233806.6,23,0.441975481,8.833333333
15979.2,7,352478902.2,25,0.468608502,7.941176471
14685.6,8,367911359.5,26,0.453421871,23.65384615
15898.6,8,382767246.2,28,0.542438496,15.3030303
14300.6,8,396163970.2,29.8,0.565752981,46.33333333
16470.6,9,407279130,31.31818182,0.642605804,48.86363636
18053.6,8.870967742,421414393.9,33.64516129,0.665323425,35.80645161
81073.4,8.76,436224308.2,35.6,0.473179453,48.4
54207.2,9,450569204.5,36,0.26738412,46.03448276
16387.2,9,463188585.2,36,0.373684953,48.23529412
20121.6,9,477426557.4,36,0.398871673,42.23684211
23509.2,9,497703426.5,36,0.494101688,20.76923077
22175,2,128894178.3,13.76190476,0.117507001,5.238095238
16211,2.916666667,146485765.2,14,0.188110487,6.25
18850.8,3,161274039.1,14,0.133596097,5.46875
19400.8,3,177559330.2,14,0.178647782,5.735294118
16111.2,3,192989940.5,14,0.144000628,5.576923077
16422,3,208754772.2,15,0.18325521,5.416666667
16890.2,4,224904519.6,15.63333333,0.207415417,5.5
16802.6,4,240913132.9,16,0.252168672,12.94117647
17037,4,256056643.5,17,0.27173864,32.30769231
19161,5,271124610,18,0.271880441,29.54545455
18072.2,5,286642746.6,19.57142857,0.281043088,29.10714286
18743.8,6,302312137.9,20.05882353,0.322797961,26.02941176
15442.8,6,319717219.8,22,0.351473355,5.394736842
16561.6,7,336099559.6,23,0.381594432,9.166666667
16712,7.142857143,352396675.3,25,0.434143535,5.571428571
15531.6,8,367963535.8,26.07692308,0.485987495,21.15384615
16039,8,380467751.9,28,0.524945491,39.21052632
16263.8,8,392932801.3,30,0.588028916,32.5
52958.8,8,406252823.2,31.8,0.665042772,31.2
17119.8,9,419186568.1,33.57142857,0.674924107,50.71428571
15072.6,9,432175787,35.65217391,0.490965962,51.95652174
17455.4,9,445514710.4,36,0.322530922,61.2962963
31689.8,9,461007124.4,36.11428571,0.417499414,42.57142857
86968.2,9,479239034,37,0.468215374,39.65116279
91049,9,499973971.5,36.68,0.552243608,20.6
19889.4,2,127457876.4,17.14285714,0.144461922,6.071428571
17976.4,3,143761263.1,22,0.23841636,16.48148148
16970.8,3.52173913,157467221.5,30.47826087,0.387531926,26.52173913
23454.8,4,169795236.6,47.0952381,0.680006117,35.47619048
28504.4,5.3125,181355061,50.75,0.780951451,45.9375
161770.4,11.2,217603710.1,49.66666667,0.801618127,56.33333333
