timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 10-- 2021 2:50:49 PM,10625,10844,12609,10562;12609;11438;7672;10844;,0.074930579,0.076,0.115,0.07581931115941214;0.09772862100532781;0.11459818351165842;0.06683583471229802;0.019670946751870807;,326989270,3.27E+08,326990312,326990312;326989791;326989270;326988749;326988228;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.188448962,0.216,0.288,0.03721042021442452;0.2875556622521352;0.12486004472848544;0.27621097543317097;0.21640770746236543;,51,51,51,51.0;51.0;51.0;51.0;51.0;,0,0,0,0;0;0;0;0;,1.629333333,2.013,4.04,0.013333333333333334;2.013333333333333;2.013333333333333;0.06666666666666667;4.04;,0.075660576,0.08,0.106,0.08005898146636901;0.10415432640459132;0.10613412669887158;0.06720425708047906;0.020751187936956295;
Jan 10-- 2021 2:52:59 PM,11334.8,11531,12016,12016;11531;10219;11735;11173;,0.076028194,0.068,0.128,0.06819966688009112;0.12832790181211318;0.10591619682498524;0.05901938515875383;0.01867782088425716;,326994480,3.27E+08,326995522,326995522;326995001;326994480;326993959;326993438;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.1674015,0.147,0.285,0.21422636423723349;0.14679295216233895;0.2849688266873404;0.11788763972025966;0.07313171569162859;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0,0,0,0;0;0;0;0;,1.941333333,2.013,4.013,0.02666666666666667;3.64;2.013333333333333;0.013333333333333334;4.013333333333334;,0.079026828,0.064,0.149,0.06380457282784013;0.14865391968549313;0.10452674065322555;0.05850024839853985;0.01964865778259639;
Jan 10-- 2021 2:55:13 PM,13691.4,13595,14578,12595;14578;13595;13563;14126;,0.058468316,0.049,0.118,0.018090385343574492;0.1039988771110799;0.09101818033541291;0.11799877529408262;0.009480227491482661;0.04915204067166572;0.019539726795052042;,327000211,3.27E+08,327001774,327001774;327001253;327000732;327000211;326999690;326999169;326998648;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;52.0;,0.227310325,0.268,0.329,0.09944886073679521;0.09200523119336884;0.31208349842345195;0.1741304816142045;0.32852663471993504;0.3167370086747768;0.2682405603641759;,46.57142857,45,53,37.0;40.0;45.0;45.0;53.0;53.0;53.0;,0,0,0,0;0;0;0;0;0;0;,1.478095238,0.133,4.04,0.013333333333333334;0.13333333333333333;4.013333333333334;2.12;0.013333333333333334;0.013333333333333334;4.04;,0.059005974,0.05,0.12,0.008317946024331668;0.12041625407433054;0.08526734588073559;0.11781867994423945;0.010896224606338434;0.049727251811197304;0.020598118627595752;
Jan 10-- 2021 2:57:31 PM,11872.2,12282,12828,12016;12828;12282;12735;9500;,0.07548874,0.053,0.151,0.040829233181167594;0.05283700690281127;0.15133768276651438;0.11366581398424444;0.018773962605681184;,327006150.4,3.27E+08,327007505,327007505;327006984;327005942;327005421;327004900;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.254698478,0.274,0.333,0.29572894119582743;0.2744974525847209;0.12943903597229084;0.2403353956630201;0.3334915626687398;,39.4,39,46,31.0;35.0;39.0;46.0;46.0;,0,0,0,0;0;0;0;0;,2.453333333,2.04,6.013,0.04;0.06666666666666667;4.1066666666666665;6.013333333333333;2.04;,0.076698939,0.054,0.149,0.04786226131060434;0.05381113792504132;0.14853447107246298;0.11351708389637516;0.01976973986607411;
Jan 10-- 2021 2:59:46 PM,11672.2,12016,12672,12672;12016;12453;10360;10860;,0.091842002,0.107,0.133,0.12516816228814173;0.13349192277205385;0.08904444493737014;0.01966347655916804;,327010891.5,3.27E+08,327011673,327011673;327011152;327010631;327010110;,52,52,52,52.0;52.0;52.0;52.0;,0.249753525,0.26,0.338,0.14162793936875545;0.27091097806499737;0.33793860940148884;0.24853657258154668;,51,51,55,47.0;47.0;55.0;55.0;,0,0,0,0;0;0;0;,1.05,1.033,2.12,2.013333333333333;2.12;0.013333333333333334;0.05333333333333334;,0.093932377,0.108,0.139,0.12524521125727672;0.13870227950041414;0.09117132252797046;0.020610694246919525;
Jan 10-- 2021 3:02:02 PM,9907,11125,12345,11907;12345;11125;7423;6735;,0.052539065,0.052,0.086,0.024992951987539515;0.08584309839431606;0.0787057414509004;0.020614468474127214;,327016101.5,3.27E+08,327017404,327017404;327016883;327015320;327014799;,52,52,52,52.0;52.0;52.0;52.0;,0.137832004,0.112,0.278,0.11714198386611283;0.1060906316072665;0.05052500751131831;0.27757039376616655;,46.5,45,56,40.0;42.0;48.0;56.0;,0,0,0,0;0;0;0;,1.06,0.107,4.027,0.0;0.06666666666666667;0.14666666666666667;4.026666666666666;,0.059600622,0.056,0.105,0.025274872485958944;0.08633826451291282;0.10477322304533467;0.022016129773690274;
Jan 10-- 2021 3:04:27 PM,12819.2,12454,14797,11922;12391;14797;12454;12532;,0.067526945,0.089,0.119,0.017615259087126696;0.08922648246894388;0.11927488641445338;0.10387830050446628;0.09344648581407589;0.03063085760016059;0.01861634084322426;,327021199.9,3.27E+08,327023656,327023656;327022093;327021572;327021051;327020530;327020009;327019488;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;52.0;,0.161704929,0.135,0.289,0.10870831354593977;0.06916332321930453;0.25215654101301127;0.12992270607498949;0.2889184300336165;0.1480031731978005;0.13506201800680642;,37.28571429,41,49,23.0;33.0;33.0;41.0;41.0;41.0;49.0;,0,0,0,0;0;0;0;0;0;0;,1.201904762,0.107,4.013,0.013333333333333334;0.06666666666666667;2.0933333333333337;4.013333333333334;2.013333333333333;0.10666666666666667;0.10666666666666667;,0.067534685,0.091,0.109,0.01888346208520497;0.09116449390494408;0.10905276552110654;0.10567273581870061;0.10098040186164992;0.02710559945799551;0.019883333493819322;
Jan 10-- 2021 3:06:43 PM,12410.2,12878,13641,13641;12878;13266;12297;9969;,0.067873669,0.068,0.115,0.057095237413872985;0.07908578443665384;0.11528148379954964;0.0200321698060147;,327026651.8,3.27E+08,327027824,327027824;327026782;327026261;327025740;,52,52,52,52.0;52.0;52.0;52.0;,0.175786884,0.157,0.302,0.30203170079467295;0.1546148614131411;0.08677468536610201;0.1597262880050737;,50,50,58,42.0;50.0;50.0;58.0;,0,0,0,0;0;0;0;,2.04,2.013,4.12,2.013333333333333;0.013333333333333334;4.12;2.013333333333333;,0.066993668,0.066,0.115,0.05943108891882942;0.07253943706105948;0.11472523715445837;0.021278908972390376;
Jan 10-- 2021 3:09:02 PM,11491.4,10969,13641,13641;12594;10969;10471;9782;,0.065454261,0.049,0.143,0.037800197069059405;0.06105862565923777;0.14266289883576586;0.020295322566100796;,327031210.5,3.27E+08,327031992,327031992;327031471;327030950;327030429;,52,52,52,52.0;52.0;52.0;52.0;,0.110657213,0.117,0.141,0.14145837061153435;0.125643310546875;0.06643576580545177;0.10909140492557007;,52.25,51,59,48.0;51.0;51.0;59.0;,0,0,0,0;0;0;0;,2.08,2.087,4.133,0.06666666666666667;0.013333333333333334;4.133333333333333;4.1066666666666665;,0.068654744,0.05,0.153,0.02979494189414189;0.07055203163160284;0.15312876241524176;0.021143238332320013;
Jan 10-- 2021 3:11:16 PM,10357.4,10188,12070,12070;10188;10678;9207;9644;,0.084631249,0.083,0.148,0.14803301588877466;0.08347070476677297;0.022390026467546634;,327035639,3.27E+08,327036160,327036160;327035639;327035118;,52,52,52,52.0;52.0;52.0;,0.183608811,0.173,0.279,0.09922832747208021;0.27855985415726203;0.17303825063192907;,55,53,60,52.0;53.0;60.0;,0,0,0,0;0;0;,1.382222222,2.013,2.067,0.06666666666666667;2.013333333333333;2.0666666666666664;,0.086027474,0.089,0.146,0.14596330740577468;0.08866414364228259;0.02345497039802613;
Jan 10-- 2021 3:13:37 PM,10114.6,10220,11865,11865;11180;10196;7112;10220;,0.088362631,0.105,0.123,0.1212241301887419;0.12338108227279561;0.08830581243834136;0.020539499061996466;,327040067.5,3.27E+08,327040849,327040849;327040328;327039807;327039286;,52,52,52,52.0;52.0;52.0;52.0;,0.173183949,0.191,0.242,0.2415080872399076;0.06853466438895316;0.22673365216507715;0.15595939361327274;,53,53,61,45.0;53.0;53.0;61.0;,0,0,0,0;0;0;0;,1.06,1.1,2.04,2.04;2.013333333333333;0.18666666666666668;0.0;,0.087340977,0.102,0.123,0.11506384962218419;0.12317171214355171;0.08977089118369375;0.02135745503355846;
Jan 10-- 2021 3:15:56 PM,11071.4,11088,11742,11271;11742;10617;10639;11088;,0.073229941,0.077,0.118,0.05494022932803792;0.09967331051941575;0.1178569734424204;0.02044924915944129;,327044756.5,3.27E+08,327045538,327045538;327045017;327044496;327043975;,52,52,52,52.0;52.0;52.0;52.0;,0.199657204,0.192,0.318,0.31787990505622066;0.2510899004589314;0.09681916925037794;0.13283984314806788;,54,54,62,46.0;54.0;54.0;62.0;,0,0,0,0;0;0;0;,1.573333333,1.127,4.027,0.2;0.013333333333333334;2.0533333333333332;4.026666666666666;,0.07409241,0.075,0.125,0.053807161572680284;0.09664967744949295;0.12480631065436387;0.02110648878211774;
Jan 10-- 2021 3:18:14 PM,10713.4,10473,12721,12721;10587;9787;9999;10473;,0.077431902,0.077,0.133,0.1158693206948374;0.038960974194744195;0.13291345441430039;0.021983860457343594;,327049445.5,3.27E+08,327050227,327050227;327049706;327049185;327048664;,52,52,52,52.0;52.0;52.0;52.0;,0.246625289,0.254,0.298,0.29781272505857914;0.2145771377552064;0.18021280502209014;0.29389848960401677;,57,55,63,55.0;55.0;55.0;63.0;,0,0,0,0;0;0;0;,0.51,0.013,2.013,2.013333333333333;0.013333333333333334;0.0;0.013333333333333334;,0.080305461,0.079,0.14,0.117610534968126;0.04058598967523796;0.13962274331182534;0.02340257430768522;
Jan 10-- 2021 3:20:57 PM,13899.6,14219,15603,15603;14219;14753;13429;11494;,0.066224619,0.06,0.139,0.029154488124311876;0.019610512124459405;0.13941993218138612;0.090700848357687;0.1006950255072583;0.017766906168433558;,327054742.3,3.27E+08,327056479,327056479;327055437;327054916;327054395;327053874;327053353;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.187308654,0.182,0.279,0.21826610494104232;0.17169884628390675;0.16222942375988694;0.27941385115449746;0.09983992141388254;0.19240377496886552;,28.5,28.5,34,23.0;27.0;28.0;29.0;30.0;34.0;,0,0,0,0;0;0;0;0;0;,1.695555556,2.027,4.027,0.013333333333333334;2.08;2.013333333333333;4.026666666666666;0.0;2.04;,0.068267026,0.059,0.136,0.024944341620236177;0.021257190426031025;0.13559638081818093;0.09299151642313008;0.11634977616079445;0.01846294923566205;
Jan 10-- 2021 3:23:31 PM,11379.6,11687,13366,13366;11687;12167;9566;10112;,0.052788084,0.033,0.105,0.03348982513181222;0.1051630101713323;0.01971141543495711;,327059605,3.27E+08,327060126,327060126;327059605;327059084;,52,52,52,52.0;52.0;52.0;,0.127761687,0.106,0.19,0.10557654278386387;0.08728283645942446;0.19042568076390373;,41.66666667,41,43,41.0;41.0;43.0;,0,0,0,0;0;0;,0.755555556,0.12,2.067,0.12;0.08;2.0666666666666664;,0.052819009,0.035,0.103,0.03461936995385795;0.10316038127946336;0.02067727671535513;
Jan 10-- 2021 3:25:50 PM,11480.8,12191,12623,12311;10324;12191;12623;9955;,0.080878304,0.109,0.123,0.03345716213115414;0.10861272979524184;0.12260543996502918;0.11624208173622423;0.023474105514306936;,327064398.2,3.27E+08,327065857,327065857;327064815;327064294;327063773;327063252;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.250160383,0.229,0.362,0.09814424082333749;0.35103766135337566;0.2291269481813425;0.361592486869025;0.21090057891710812;,49,50,59,40.0;46.0;50.0;50.0;59.0;,0,0,0,0;0;0;0;0;,2.466666667,2.12,4.12,0.013333333333333334;2.12;4.013333333333334;4.12;2.0666666666666664;,0.082581829,0.114,0.122,0.036270535398991055;0.11558209710282907;0.12225647367423133;0.1144188577214148;0.024381182743231644;
Jan 10-- 2021 3:28:13 PM,10961,11518,13181,12747;13181;11518;8305;9054;,0.043053705,0.037,0.079,0.019042060265206034;0.07926158421676713;0.052301898817547515;0.021609276205607833;,327069894.8,3.27E+08,327071588,327071588;327070546;327068983;327068462;,52,52,52,52.0;52.0;52.0;52.0;,0.21305952,0.223,0.278,0.2778471985892092;0.2518655465238326;0.19404081843156631;0.12848451820225992;,43.25,44,52,33.0;37.0;51.0;52.0;,0,0,0,0;0;0;0;,1.08,0.073,4.12,0.05333333333333334;0.08;0.06666666666666667;4.12;,0.044764503,0.04,0.077,0.022507573052756857;0.0767226494816372;0.05732055391859136;0.022507233619227685;
Jan 10-- 2021 3:30:35 PM,11117.2,11059,12517,12517;11059;11920;10535;9555;,0.066818773,0.056,0.133,0.059003865572263045;0.05267671191054;0.13334289597756163;0.02225161921161659;,327074193,3.27E+08,327075756,327075756;327074193;327073672;327073151;,52,52,52,52.0;52.0;52.0;52.0;,0.229491308,0.229,0.287,0.17317453956651652;0.2580864162183135;0.20003129766228495;0.2866729778279307;,47.25,49,55,36.0;46.0;52.0;55.0;,0,0,0,0;0;0;0;,2.57,2.093,6.08,0.013333333333333334;0.04;4.1466666666666665;6.08;,0.068738669,0.057,0.138,0.05829829942468601;0.05533101135510998;0.13814956090284092;0.02317580307506517;
Jan 10-- 2021 3:32:53 PM,10981,10828,12394,12394;10828;11300;9966;10417;,0.062202326,0.055,0.114,0.11448091921181053;0.054822233242567894;0.05485037636426782;0.024655776403429103;,327078621.5,3.27E+08,327079403,327079403;327078882;327078361;327077840;,52,52,52,52.0;52.0;52.0;52.0;,0.298311145,0.295,0.367,0.3130142297530709;0.36717876054619203;0.27668756108851533;0.23636402898592881;,52.5,53,59,45.0;53.0;53.0;59.0;,0,0,0,0;0;0;0;,2.58,2.127,4.053,4.053333333333333;2.013333333333333;2.2133333333333334;2.04;,0.065232932,0.06,0.116,0.1156349357226578;0.06448504869380078;0.05488582264646224;0.02592592139700889;
Jan 10-- 2021 3:35:18 PM,10518.6,10666,12855,10666;12855;11625;9444;8003;,0.049842473,0.036,0.105,0.02575960436544924;0.1050075457461766;0.045769469260385616;0.02283327434513359;,327083961.8,3.27E+08,327085655,327085655;327084613;327083050;327082529;,52,52,52,52.0;52.0;52.0;52.0;,0.242942322,0.246,0.322,0.3218072794171075;0.293600308564345;0.1990240683410675;0.15733763158291683;,43.75,45.5,54,30.0;38.0;53.0;54.0;,0,0,0,0;0;0;0;,1.05,0.067,4.04,0.06666666666666667;0.06666666666666667;0.02666666666666667;4.04;,0.051419279,0.039,0.104,0.027574935204291218;0.10437511515231057;0.04993672118449199;0.02379034522467338;
Jan 10-- 2021 3:37:40 PM,12838.4,12894,14378,14378;12894;11801;13766;11353;,0.076254057,0.07,0.142,0.028970545207523755;0.02873397287954314;0.14190643783871365;0.11190494578801999;0.12316911835262793;0.02283932310072206;,327088607.3,3.27E+08,327090344,327090344;327089302;327088781;327088260;327087739;327087218;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.204864137,0.197,0.291,0.26041584050543953;0.2038458042798384;0.18119331621306708;0.2912721605944144;0.10146436562159998;0.1909933348345581;,42.16666667,42,54,30.0;38.0;39.0;45.0;47.0;54.0;,0,0,0,0;0;0;0;0;0;,2.724444444,2.067,6.107,0.08;2.106666666666667;2.013333333333333;4.013333333333334;6.1066666666666665;2.0266666666666664;,0.077469417,0.075,0.134,0.03134382177920558;0.03022839692567636;0.13437074936609572;0.11855691423979732;0.1267198403596136;0.02359677787601544;
Jan 10-- 2021 3:40:15 PM,13318.2,13512,14947,14404;14947;13512;12598;11130;,0.086165723,0.061,0.147,0.05505720826065068;0.14730660019875372;0.060588580543531334;0.14551405357409697;0.022362173924413097;,327588717.2,3.28E+08,327755050,327755050;327589134;327588613;327588092;327422697;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.131566636,0.17,0.198,0.1700447234916925;0.042712508069442004;0.17192749823773612;0.07474005654793846;0.1984083928757481;,49.6,51,56,38.0;48.0;51.0;55.0;56.0;,0,0,0,0;0;0;0;0;,0.853333333,0.053,2.107,0.013333333333333334;2.04;2.106666666666667;0.05333333333333334;0.05333333333333334;,0.087364186,0.063,0.151,0.05584325139239854;0.15108882624195996;0.06289662092671533;0.14347825375897394;0.023513978730431706;
Jan 10-- 2021 3:42:39 PM,12877.2,12677,14743,14253;14743;12677;10079;12634;,0.063213046,0.055,0.122,0.05514909869136806;0.12190827608303963;0.07100670098372866;0.04389599954045743;0.024105154904450705;,328154394.6,3.28E+08,328254361,328254361;328253840;328088445;328087924;328087403;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.13003714,0.106,0.245,0.1663363001432316;0.10566538745772915;0.24520976841356681;0.0885477496631765;0.04442649273856593;,41,39,49,34.0;37.0;39.0;46.0;49.0;,0,0,0,0;0;0;0;0;,1.645333333,0.08,4.04,0.08;4.04;0.0;0.06666666666666667;4.04;,0.063271334,0.055,0.123,0.05511215614845799;0.12319810815560217;0.07089537017900793;0.04203439602112279;0.02511663833108624;
Jan 10-- 2021 3:45:11 PM,10304.6,11202,12556,12556;11994;11202;8142;7629;,0.065367987,0.082,0.093,0.08213055217748484;0.09250561795134209;0.02146779179802517;,328752977.3,3.29E+08,328919067,328919067;328752630;328587235;,52,52,52,52.0;52.0;52.0;,0.191613759,0.144,0.327,0.14431938140498482;0.10356507917055512;0.32695681664865484;,50,50,58,42.0;50.0;58.0;,0,0,0,0;0;0;,2.066666667,2.067,4.027,2.0666666666666664;0.10666666666666667;4.026666666666666;,0.06746277,0.086,0.094,0.08599741611096645;0.09403230012847363;0.022358592850087455;
Jan 10-- 2021 3:47:36 PM,10980.4,10777,11395,11395;10695;10712;10777;11323;,0.08249114,0.081,0.145,0.05849498918734661;0.14459068641149422;0.10313380270294348;0.02374508269744708;,329457773,3.29E+08,329582210,329582210;329581689;329416294;329250899;,52,52,52,52.0;52.0;52.0;52.0;,0.187723073,0.176,0.301,0.15782617016373393;0.09722844013915255;0.1943735849261321;0.3014640979466963;,47,47.5,51,42.0;45.0;50.0;51.0;,0,0,0,0;0;0;0;,2.553333333,2.067,6.067,0.013333333333333334;4.08;6.066666666666666;0.05333333333333334;,0.085316817,0.085,0.147,0.06849826453358054;0.14678467161901354;0.1006288676107545;0.025355463682987245;
Jan 10-- 2021 3:50:01 PM,11469,11515,13366,10979;13366;11515;11943;9542;,0.073709306,0.069,0.133,0.06127026951225374;0.13313259851092454;0.0759375431325245;0.024496813497193945;,329915995.8,3.30E+08,329917168,329917168;329916126;329915605;329915084;,52,52,52,52.0;52.0;52.0;52.0;,0.143095072,0.146,0.217,0.21677230455417465;0.06333412715944445;0.19148923437408533;0.10078462189225677;,41.5,42,47,35.0;40.0;44.0;47.0;,0,0,0,0;0;0;0;,2.566666667,3.053,4.133,0.02666666666666667;4.066666666666666;4.133333333333333;2.04;,0.074482962,0.072,0.129,0.06416956466094059;0.12928222013081825;0.07925727216098777;0.025222789843726057;
Jan 10-- 2021 3:52:22 PM,11717,11746,13201,11746;13201;12402;11002;10234;,0.073284529,0.07,0.13,0.03190783683595989;0.1302990949365761;0.10741844919396834;0.023512734505435107;,330456525.3,3.30E+08,330581353,330581353;330580311;330414916;330249521;,52,52,52,52.0;52.0;52.0;52.0;,0.192176223,0.217,0.283,0.2482527677646416;0.1854548187788851;0.28283517629831106;0.05216212849040608;,50.5,49,60,44.0;45.0;53.0;60.0;,0,0,0,0;0;0;0;,3.57,4.08,6.107,0.013333333333333334;4.12;6.1066666666666665;4.04;,0.072625326,0.068,0.131,0.030492660456611365;0.13089158668254486;0.10467408060467509;0.02444297804341744;
Jan 10-- 2021 3:54:46 PM,11566.2,11754,12814,12814;11856;11328;10079;11754;,0.078540328,0.076,0.134,0.04006247952006047;0.11100342518088921;0.13446096942974026;0.02863443876659257;,331038143,3.31E+08,331080143,331080143;331079622;331079101;330913706;,52,52,52,52.0;52.0;52.0;52.0;,0.239391022,0.241,0.338,0.3376341841661355;0.30962515459082746;0.13728132416785363;0.17302342359432;,54.25,54.5,62,46.0;54.0;55.0;62.0;,0,0,0,0;0;0;0;,1.523333333,2.02,2.04,0.013333333333333334;2.013333333333333;2.04;2.0266666666666664;,0.080821963,0.076,0.142,0.03850049151854873;0.11334299366815849;0.14196488053755385;0.02947948624555874;
Jan 10-- 2021 3:57:22 PM,11381.6,11844,12313,11219;12313;12313;11844;9219;,0.071931717,0.073,0.146,0.02536189070245956;0.09378168283475179;0.0727801283732621;0.14555544696041023;0.022179434540497135;,331776990.2,3.32E+08,331910244,331910244;331909723;331743807;331743286;331577891;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.213866656,0.236,0.255,0.23556586533229473;0.20669998482029583;0.23851520406524837;0.1340340547160369;0.25451816929222415;,47,47,55,38.0;43.0;47.0;52.0;55.0;,0,0,0,0;0;0;0;0;,0.856,0.133,2.04,0.08;0.013333333333333334;2.013333333333333;2.04;0.13333333333333333;,0.072346664,0.075,0.151,0.018402076419354985;0.09465415400806233;0.0746526345280013;0.1509265593976069;0.023097898072395484;
Jan 10-- 2021 4:00:04 PM,12681.6,12673,13437,12250;12673;13437;11657;13391;,0.07126294,0.062,0.13,0.024647454084187365;0.06242369327733778;0.12873026822448655;0.13025109677585903;0.0870334899299107;0.04280865828936065;0.022945918044244708;,332409034,3.32E+08,332575471,332575471;332574950;332574429;332409034;332243639;332243118;332242597;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;52.0;,0.17947197,0.161,0.335,0.1492798194885254;0.14120644569396973;0.08068831443786621;0.19450367819598274;0.33511318842768856;0.19408675770406095;0.16142558651787808;,40.57142857,40,50,30.0;35.0;36.0;40.0;45.0;48.0;50.0;,0,0,0,0;0;0;0;0;0;0;,1.792380952,2.04,4.08,0.04;0.08;4.053333333333333;4.08;2.04;0.05333333333333334;2.1999999999999997;,0.072222783,0.064,0.131,0.02466507630964454;0.06364453235222411;0.1313831895847004;0.12325602240735666;0.09065012638847347;0.047935439644619215;0.024025097023958386;
Jan 10-- 2021 4:02:42 PM,10653.4,10563,12094,12094;11204;9422;9984;10563;,0.076088703,0.086,0.108,0.084395207588505;0.10824116110318985;0.08812319149252491;0.02359525355301949;,332991563.5,3.33E+08,333074782,333074782;333074261;332908866;332908345;,52,52,52,52.0;52.0;52.0;52.0;,0.175208884,0.162,0.294,0.14706401561811122;0.0836366291118774;0.2936330932464504;0.1765017997927782;,52,52,56,48.0;49.0;56.0;55.0;,0,0,0,0;0;0;0;,1.54,1.053,4.053,0.09333333333333334;0.0;2.013333333333333;4.053333333333333;,0.076711404,0.083,0.115,0.08415575025284049;0.11496932980333019;0.08265200449622669;0.025068532072220373;
Jan 10-- 2021 4:25:25 PM,11527.6,11890,13202,13202;12390;11890;10142;10014;,0.115957291,0.133,0.197,0.09508038856692556;0.1971450157278914;0.17001064030162719;0.00159312085541801;,339161836,3.39E+08,340014922,340014922;339460999;338766791;338404632;,52,52,52,52.0;52.0;52.0;52.0;,0.192305079,0.184,0.33,0.11681327108774732;0.07163365753308903;0.2510598664951877;0.3297135200003095;,2,2,2,2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;,1.54,0.153,5.84,0.04;0.26666666666666666;5.84;0.013333333333333334;,0.117225643,0.133,0.201,0.09970760878907903;0.2008585518984367;0.16564012184487875;0.0026962886858155066;
Jan 10-- 2021 4:27:07 PM,12370.6,12373,12952,12202;12373;12952;11921;12405;,0.201148465,0.233,0.262,0.25435084214428283;0.22677474301748493;0.26188489390336334;0.23287334364039886;0.029858503180973647;,354108282.6,3.54E+08,356010823,356010823;354992784;354123222;353371631;352042953;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.228573169,0.202,0.351,0.14963646712021275;0.351349505634928;0.1532936285553395;0.286658618224794;0.2019276234641004;,3,3,3,3.0;3.0;3.0;3.0;3.0;,0,0,0,0;0;0;0;0;,2.461333333,4.04,4.107,0.08;4.04;4.04;0.04;4.1066666666666665;,0.201967005,0.236,0.26,0.25654854055409615;0.22583800630686268;0.260373531738057;0.23631246101426265;0.03076248561037187;
Jan 10-- 2021 4:28:46 PM,12325,12406,13547,13078;13547;11719;12406;10875;,0.221968615,0.274,0.299,0.2986760935189763;0.2608413619476473;0.2875516911615753;0.04080531266910856;,374236105.5,3.74E+08,376088152,376088152;374661092;373647149;372548029;,52,52,52,52.0;52.0;52.0;52.0;,0.122955741,0.09,0.236,0.07716624728527947;0.23608956508779105;0.07543708806456068;0.10313006357337166;,4,4,4,4.0;4.0;4.0;4.0;,0,0,0,0;0;0;0;,1.566666667,2.053,2.12,2.0533333333333332;2.12;0.04;2.0533333333333332;,0.22490075,0.283,0.291,0.2912014523496832;0.28306342440544274;0.2833488753761738;0.04198924795460002;
Jan 10-- 2021 4:30:28 PM,12787.2,12906,13625,13094;13625;11937;12374;12906;,0.262501512,0.294,0.373,0.29353007201105413;0.37288460723905453;0.30288170369859413;0.2822435244834081;0.0609676534406102;,404041607.4,4.04E+08,407560533,407560533;405588276;403787264;402220836;401051128;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.210340473,0.155,0.345,0.34517643732528724;0.13836150171722666;0.30193026805665024;0.11074502678651438;0.15548912872224163;,5,5,5,5.0;5.0;5.0;5.0;5.0;,0,0,0,0;0;0;0;0;,2.090666667,2.067,4.08,0.12;2.0666666666666664;2.12;4.08;2.0666666666666664;,0.263869475,0.298,0.376,0.2975836651985089;0.3756350762508854;0.29872206261392575;0.2849199174574153;0.062486651782505225;
Jan 10-- 2021 4:32:26 PM,11865.4,12000,12750,12750;12000;12468;11422;10687;,0.277308285,0.325,0.395,0.3077938754783578;0.39528317678087466;0.3431112961777195;0.06304478973848651;,438740455.5,4.39E+08,441012321,441012321;439281019;438049819;436618663;,52,52,52,52.0;52.0;52.0;52.0;,0.178664141,0.187,0.275,0.21146850398021377;0.27465250309466815;0.06697221629656831;0.16156334048843407;,6,6,6,6.0;6.0;6.0;6.0;,0,0,0,0;0;0;0;,1.61,2.08,2.147,2.1466666666666665;2.08;2.08;0.13333333333333333;,0.278082213,0.328,0.391,0.31103722628292785;0.39066461622180687;0.34594409166122214;0.06468291878132759;
Jan 10-- 2021 4:34:13 PM,15328,15360,15953,15608;15360;15953;14625;15094;,0.281589832,0.292,0.377,0.29189400895008966;0.2766893165698176;0.3624821527524151;0.3769247284332717;0.09995895517145409;,485142423.4,4.85E+08,488698143,488698143;486290455;485432290;483414938;481876291;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.216929617,0.167,0.335,0.11827035793945553;0.13009232878611512;0.33408501030206533;0.1674463601483782;0.3347540286213119;,7,7,7,7.0;7.0;7.0;7.0;7.0;,0,0,0,0;0;0;0;0;,0.912,0.16,2.093,0.16;2.0933333333333337;2.0933333333333337;0.09333333333333334;0.12;,0.288051687,0.296,0.382,0.2956470924337933;0.29599755498066227;0.3647023567011439;0.3817514830903256;0.10215994548880068;
